AIRCRAFT_ID,PRICE,START_OF_SERVICE,END_OF_SERVICE,TOTAL_FLIGHTS,Date Completed,Manufacturer,Model,Physical Class (Engine Type),# Engines,"Approach Speed
(Vref)","Wingspan, ft",Wingtip Configuration,"Length, ft","Tail Height, ft
(@ OEW)","Wheelbase, ft",Cockpit to Main Gear (CMG),"MGW
(Outer to Outer)",MTOW,"Max Ramp
Max Taxi",Main Gear Configuration,ICAO/FAA Code,ATCT Weight Class
1,496,5/22/1963,31/12/2011,598,8-Sep,Cessna,310 (Model T310R),Piston,2,82,36.92,tip tanks,32,10.58,tbd,tbd,tbd,"5,500","5,500",S,C310,Small Eqpt
2,880,5/2/1990,11/8/2014,946,7-Sep,Cessna,150,Piston,1,55,33.17,no winglets,23.92,8.5,tbd,tbd,tbd,"1,600","1,600",S,C150,Small Eqpt
3,343,2/20/1979,6/8/2016,751,2-Nov,Piper,PA-28-180 Cherokee,Piston,1,65,30,no winglets,23.5,7.29,6.21,6.21,10.53,"2,400","assume 2,407",S,PA28,Small Eqpt
4,448,11/14/1982,3/4/2010,911,2-Nov,Piper,PA-28-235 Cherokee Pathfinder/Charger,Piston,1,65,32,no winglets,23.79,7.29,6.21,6.21,10.53,"3,000","assume 3,011",S,PA28,Small Eqpt
5,795,1/10/1980,17/11/2012,967,8-Sep,Cessna,"337 Skymaster, Turbo, Super Skymaster",Piston,2,70,38,none,29.75,9.33,tbd,tbd,tbd,4400,"4,400",S,C337,Small Eqpt
6,1100,9/16/1967,21/12/2010,531,2-Nov,Piper,"PA-28-140/150/160 Cherokee Cruiser/Flight Liner, 150, 160",Piston,1,60,30,no winglets,23.5,7.29,6.21,6.21,10.53,"2,150","assume 2,157",S,PA28,Small Eqpt
7,962,4/12/1988,24/1/2013,786,8-Sep,Cessna,"411A (landing gear based on 310, wings from 414)",Piston,2,94,39.85,tip tanks,33.5,11.58,tbd,tbd,tbd,"6,500","6,500",S,C411,Small Eqpt
8,188,12/5/1968,23/3/2012,991,8-Sep,Cessna,"401 (initial model, lighter, less powerful than the 402)",Piston,2,90,44.17,tip tanks,36.42,11.42,tbd,tbd,tbd,"6,300","6,300",S,C401,Small Eqpt
9,175,7/31/1978,5/10/2010,949,8-Sep,Cessna,421C Golden Eagle,Piston,2,96,44.17,none,36.42,11.5,tbd,tbd,tbd,"7,450","7,500",S,C421,Small Eqpt
10,650,12/6/1972,28/6/2013,686,8-Sep,Cessna,414A Chancellor (a less powerfull but lighter 421),Piston,2,95,44.17,none,36.42,11.5,tbd,tbd,tbd,"6,750","6,785",S,C414,Small Eqpt
11,628,9/17/1984,8/3/2016,949,8-Sep,Cessna,340 (developed from Cessna 310).  335 is unpressurized 340.,Piston,2,94,38.11,tip tanks,43.33,12.58,tbd,tbd,tbd,"6,025","6,025",S,C340,Small Eqpt
12,243,8/25/1970,28/6/2012,684,15-Sep,Cessna,Citation CJ1                      (Model C525),Jet,2,108,46.92,no winglets,42.58,13.77,15.33,15.33,13,"10,600","10,700",S,C525,Medium Commuter Eqpt
13,566,9/24/1980,22/9/2012,683,15-Sep,Cessna,Citation CJ1+                    (Model C525),Jet,2,108,46.92,no winglets,42.58,13.77,15.33,15.33,13,"10,700","10,800",S,C525,Medium Commuter Eqpt
14,723,7/11/1970,24/2/2010,615,15-Sep,Cessna,Citation M2                        (Model C525),Jet,2,100,47.25,winglets,42.58,13.92,15.33,15.33,13,"10,700","10,800",S,C25M,Small Eqpt
15,406,7/4/1981,25/12/2015,674,15-Sep,Cessna,"Citation I, I/SP                  (Model C500/501)",Jet,2,107,47.08,no winglets,43.6,14.4,17.83,17.83,15.92,"11,850","12,000",S,"C500, C501",Medium Commuter Eqpt
16,912,11/16/1964,5/1/2015,873,2-Nov,Piper,PA-28-151 and -161 Cherokee Warrior/Cadet,Piston,1,65,35,no winglets,23.79,7.29,6.67,6.67,10.53,"2,325","2,325",S,PA28,Small Eqpt
17,743,10/7/1967,20/8/2011,865,2-Nov,Piper,"PA-28-161 Cherokee Warrior II, III",Piston,1,73,35,no winglets,23.79,7.29,6.67,6.67,10.53,"2,440","assume 2,407",S,PA28,Small Eqpt
18,464,12/24/1968,25/3/2015,514,8-Sep,Cessna,404 Titan,Piston,2,96,46.33,none,39.52,13.25,tbd,tbd,tbd,"8,400","8,400",S,C404,Small Eqpt
19,574,9/6/1981,29/3/2014,731,7-Sep,Cessna,152,Piston,1,56,33.17,no winglets,24.08,8.5,tbd,tbd,tbd,"1,675","1,675",S,C150,Small Eqpt
20,582,8/19/1966,3/1/2017,609,15-Sep,Cessna,"Citation II/Bravo, II/SP      (Model C550/551)",Jet,2,112,52.17,no winglets,47.21,15,18.5,18.5,13.33,"14,800","15,000",S,C550,Medium Commuter Eqpt
21,460,7/17/1989,25/7/2014,708,8-Sep,Cessna,402C Utililiner/Businessliner (no tip tanks),Piston,2,88,44.17,none,36.42,11.42,tbd,tbd,tbd,"6,850","6,885",S,C402,Small Eqpt
